raceId,driverId,stop,pit_lap,year,round,circuit_name,race_position,lap_time_ms,constructorId,grid_position,constructor_name,driver_champ_points,constructor_champ_points,personal_best_ms,lap_time_delta,prev_pit_lap,laps_since_last_pit,max_lap,laps_remaining,driverId_ahead,approx_gap_ahead,driverId_behind,approx_gap_behind,tyre_deg_slope_ms_per_lap,rival_ahead_just_pitted,rival_behind_just_pitted,strategy
1134,848,2,23,2024,14,Circuit de Spa-Francorchamps,11,114299,3,10,Williams,4.0,4.0,107996,6303,8,15,44,21,4.0,1.337,842.0,0.584,840.0999999999998,0,0,Standard
1062,8,2,3,2021,11,Hungaroring,8,1579497,51,13,Alfa Romeo,1.0,2.0,81518,100000,2,1,70,67,847.0,0.688,854.0,0.883,0.0,1,1,Emergency
1128,1,1,1,2024,8,Circuit de Monaco,7,2483804,131,7,Mercedes,35.0,79.0,74165,100000,0,1,78,77,830.0,4.86,852.0,4.805,0.0,0,0,Emergency
929,817,2,35,2015,4,Bahrain International Circuit,5,104355,9,7,Red Bull,11.0,13.0,98948,5407,14,21,57,22,3.0,15.0,822.0,8.559,598.3999999999897,1,1,Standard
1028,817,1,21,2019,19,Circuit of the Americas,4,103950,4,9,Renault,38.0,73.0,100564,3386,0,21,56,35,830.0,15.0,807.0,12.913,312.6000000000057,0,0,Standard
1073,840,1,21,2021,22,Yas Marina Circuit,11,92575,117,13,Aston Martin,34.0,77.0,88567,4008,0,21,58,37,846.0,0.978,844.0,0.97,454.5000000000021,0,0,Undercut
972,836,1,2,2017,4,Sochi Autodrom,17,155148,15,17,Sauber,0.0,0.0,100922,54226,0,2,52,50,828.0,0.454,,15.0,5000.0,1,0,Emergency
967,825,3,28,2016,20,Autódromo José Carlos Pace,12,138894,4,18,Renault,7.0,8.0,86524,52370,20,8,71,43,822.0,1.815,18.0,3.474,3880.100000000001,0,0,Standard
940,831,1,10,2015,14,Suzuka Circuit,11,106061,15,16,Sauber,17.0,26.0,100088,5973,0,10,53,43,828.0,1.807,18.0,0.793,643.2999999999994,0,0,Standard
991,825,1,24,2018,3,Shanghai International Circuit,7,104253,210,11,Haas F1 Team,10.0,10.0,98152,6101,0,24,56,32,817.0,15.0,4.0,1.265,881.1000000000017,0,0,Standard
918,813,1,7,2014,19,Yas Marina Circuit,12,112953,208,15,Lotus F1,2.0,10.0,108933,4020,0,7,55,48,20.0,0.885,155.0,2.138,498.89999999999714,0,0,Undercut
